=== DIAGNOSA STOK PRODUK ID 48 ===
Produk: ANDALAN
Stok saat ini (di tabel produk): 1008

--- REKAMAN STOK (Urut Waktu) ---
ID: 178275 | Time: 2024-05-07 00:00:00 | Awal: 71 | Masuk: 0 | Keluar: 1 | Sisa: 70 | Ket: Penjualan - ID: 23 | Status: GAP (71) | MATH OK
ID: 178276 | Time: 2024-05-07 00:00:00 | Awal: 70 | Masuk: 0 | Keluar: 1 | Sisa: 69 | Ket: Penjualan - ID: 23 | Status: OK | MATH OK
ID: 178277 | Time: 2024-05-07 00:00:00 | Awal: 69 | Masuk: 0 | Keluar: 1 | Sisa: 68 | Ket: Penjualan - ID: 24 | Status: OK | MATH OK
ID: 178278 | Time: 2024-05-07 00:00:00 | Awal: 68 | Masuk: 0 | Keluar: 1 | Sisa: 67 | Ket: Penjualan - ID: 24 | Status: OK | MATH OK
ID: 178279 | Time: 2024-05-07 00:00:00 | Awal: 67 | Masuk: 0 | Keluar: 1 | Sisa: 66 | Ket: Penjualan - ID: 26 | Status: OK | MATH OK
ID: 178280 | Time: 2024-05-29 12:41:31 | Awal: 66 | Masuk: 0 | Keluar: 2 | Sisa: 64 | Ket: Penjualan - ID: 14 | Status: OK | MATH OK
ID: 178281 | Time: 2024-05-29 14:11:28 | Awal: 64 | Masuk: 0 | Keluar: 1 | Sisa: 63 | Ket: Penjualan - ID: 16 | Status: OK | MATH OK
ID: 178282 | Time: 2024-05-29 14:38:34 | Awal: 63 | Masuk: 0 | Keluar: 1 | Sisa: 62 | Ket: Penjualan - ID: 17 | Status: OK | MATH OK
ID: 178283 | Time: 2024-05-29 14:38:34 | Awal: 62 | Masuk: 0 | Keluar: 2 | Sisa: 60 | Ket: Penjualan - ID: 17 | Status: OK | MATH OK
ID: 178284 | Time: 2024-12-05 00:00:00 | Awal: 60 | Masuk: 0 | Keluar: 1 | Sisa: 59 | Ket: Penjualan - ID: 49 | Status: OK | MATH OK
ID: 178285 | Time: 2024-12-09 00:00:00 | Awal: 59 | Masuk: 0 | Keluar: 1 | Sisa: 58 | Ket: Penjualan - ID: 54 | Status: OK | MATH OK
ID: 178286 | Time: 2024-12-20 00:00:00 | Awal: 58 | Masuk: 0 | Keluar: 2 | Sisa: 56 | Ket: Penjualan - ID: 69 | Status: OK | MATH OK
ID: 178287 | Time: 2024-12-20 00:00:00 | Awal: 56 | Masuk: 0 | Keluar: 2 | Sisa: 54 | Ket: Penjualan - ID: 72 | Status: OK | MATH OK
ID: 178288 | Time: 2024-12-20 00:00:00 | Awal: 54 | Masuk: 0 | Keluar: 1 | Sisa: 53 | Ket: Penjualan - ID: 72 | Status: OK | MATH OK
ID: 178289 | Time: 2024-12-25 00:00:00 | Awal: 53 | Masuk: 0 | Keluar: 1 | Sisa: 52 | Ket: Penjualan - ID: 83 | Status: OK | MATH OK
ID: 178290 | Time: 2024-12-26 00:00:00 | Awal: 52 | Masuk: 0 | Keluar: 1 | Sisa: 51 | Ket: Penjualan - ID: 84 | Status: OK | MATH OK
ID: 178291 | Time: 2024-12-26 00:00:00 | Awal: 51 | Masuk: 0 | Keluar: 2 | Sisa: 49 | Ket: Penjualan - ID: 87 | Status: OK | MATH OK
ID: 178292 | Time: 2024-12-26 00:00:00 | Awal: 49 | Masuk: 0 | Keluar: 0 | Sisa: 49 | Ket: Penjualan - ID: 88 | Status: OK | MATH OK
ID: 178293 | Time: 2024-12-26 00:00:00 | Awal: 49 | Masuk: 0 | Keluar: 1 | Sisa: 48 | Ket: Penjualan - ID: 89 | Status: OK | MATH OK
ID: 178294 | Time: 2024-12-26 00:00:00 | Awal: 48 | Masuk: 0 | Keluar: 1 | Sisa: 47 | Ket: Penjualan - ID: 89 | Status: OK | MATH OK
ID: 178295 | Time: 2024-12-26 00:00:00 | Awal: 47 | Masuk: 0 | Keluar: 1 | Sisa: 46 | Ket: Penjualan - ID: 89 | Status: OK | MATH OK
ID: 178296 | Time: 2025-01-14 00:00:00 | Awal: 46 | Masuk: 0 | Keluar: 1 | Sisa: 45 | Ket: Penjualan - ID: 102 | Status: OK | MATH OK
